Galaxy,M_BH,M_BH_lower,M_BH_upper,sigma,Morph,Method,Source,Paper reference,MASSIVE?,BCG?
A1836,3900000000,3300000000,4300000000,288,E,gas,MM13,,,
A3565,1400000000,1200000000,1700000000,322,E,gas,MM13,,,
CIRC,1700000,1400000,2100000,158,S,maser,MM13,,,
IC1459,2800000000,1600000000,3900000000,315,E,star,MM13,,,
MW,4100000,3500000,4700000,103,S,star,MM13,,,
N4486A,14000000,8900000,19000000,111,E,star,MM13,,,
NGC1023,40000000,36000000,44000000,205,S0,star,MM13,,,
NGC1194,68000000,65000000,71000000,147.9,S0,maser,MM13,,,
NGC1300,71000000,53000000,105000000,218,S,gas,MM13,,,
NGC1316,170000000,140000000,200000000,226,E,star,MM13,,,
NGC1332,1500000000,1300000000,1700000000,328,S0,star,MM13,,,
NGC1374,590000000,540000000,650000000,174,E,star,MM13,,,
NGC1399,510000000,440000000,570000000,296,E,star,MM13,,,
NGC1399,1300000000,630000000,1800000000,296,E,star,MM13,,,
NGC1407,4700000000,4200000000,5400000000,274,E,star,MM13,,,
NGC1550,3900000000,3200000000,4600000000,289,E,star,MM13,,,
NGC221,2600000,2100000,3100000,75,E,star,MM13,,,
NGC224,140000000,110000000,220000000,160,S,star,MM13,,,
NGC2273,7800000,7400000,8200000,144.5,S,maser,MM13,,,
NGC2549,14000000,10000000,15000000,145,S0,star,MM13,,,
NGC2787,41000000,36000000,45000000,189,S0,gas,MM13,,,
NGC2960,12100000,11600000,12600000,166,S,maser,MM13,,,
NGC3031,80000000,69000000,100000000,143,S,gas,MM13,,,
NGC3091,3700000000,3200000000,3800000000,307,E,star,MM13,,,
NGC3115,890000000,620000000,1400000000,230,S0,star,MM13,,,
NGC3227,15000000,7000000,20000000,133,S,star,MM13,,,
NGC3245,220000000,160000000,270000000,205,S0,gas,MM13,,,
NGC3368,7600000,6100000,9200000,122,S,star,MM13,,,
NGC3377,180000000,85000000,270000000,145,E,star,MM13,,,
NGC3379,420000000,310000000,520000000,206,E,star,MM13,,,
NGC3384,11000000,5900000,16000000,143,S0,star,MM13,,,
NGC3393,33000000,31000000,35000000,147.9,S,maser,MM13,,,
NGC3489,6000000,5100000,6800000,100,S0,star,MM13,,,
NGC3585,330000000,270000000,480000000,213,S0,star,MM13,,,
NGC3607,140000000,90000000,180000000,229,E,star,MM13,,,
NGC3608,470000000,370000000,570000000,182,E,star,MM13,,,
NGC3842,8630000000,,,270,E,star,MM13_updated,McConnell+11,Y,
NGC3998,850000000,780000000,920000000,272,S0,star,MM13,,,
