"This ASCII file matches Table 3 in McConnell & Ma 2013 (ApJ, 764, 184).",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Col. 1: Galaxy,,,,,,,,,,,,,,
Col. 2: Distance (Mpc),,,,,,,,,,,,,,
Col. 3: MBH (Msun),,,,,,,,,,,,,,
Col. 4: MBH lower (68%),,,,,,,,,,,,,,
Col. 5: MBH upper (68%),,,,,,,,,,,,,,
Col. 6: method,,,,,,,,,,,,,,
Col. 7: sigma (km/s),,,,,,,,,,,,,,
Col. 8: sigma lower (68%),,,,,,,,,,,,,,
Col. 9: sigma upper (68%),,,,,,,,,,,,,,
Col. 10: log(LV/Lsun),,,,,,,,,,,,,,
Col. 11: error in log(LV/Lsun),,,,,,,,,,,,,,
Col. 12: Mbulge/Msun,,,,,,,,,,,,,,
Col. 13: radius of influence (arcsec),,,,,,,,,,,,,,
"Col. 14: Morphology -- (E)lliptical, S0, (S)piral",,,,,,,,,,,,,,
"Col. 15: Profile -- (P)ower-law, (I)ntermediate, (C)ore, (U)ndetermined",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MW,0.008,4.10E+06,3.50E+06,4.70E+06,star,103,83,123,0,0,0,43,S,N/A
A1836,157.5,3.90E+09,3.30E+09,4.30E+09,gas,288,274,302,11.26,0.06,0,0.27,E,C
A3565,54.4,1.40E+09,1.20E+09,1.70E+09,gas,322,306,338,11.24,0.06,0,0.22,E,C
Circ,4,1.70E+06,1.40E+06,2.10E+06,maser,158,140,176,0,0,0,0.02,S,N/A
IC1459,30.9,2.80E+09,1.60E+09,3.90E+09,star,315,299,331,10.96,0.06,3.07E+11,0.81,E,C
N221,0.73,2.60E+06,2.10E+06,3.10E+06,star,75,72,78,8.52,0.02,7.62E+08,0.57,E,I
N224,0.73,1.40E+08,1.10E+08,2.20E+08,star,160,152,168,0,0,0,6.5,S,N/A
N524,24.2,8.60E+08,8.20E+08,9.60E+08,star,235,223,247,10.62,0.04,0,0.57,S0,C
N821,23.4,1.70E+08,9.20E+07,2.40E+08,star,209,199,219,10.36,0.05,1.92E+11,0.14,E,I
N1023,10.5,4.00E+07,3.60E+07,4.40E+07,star,205,195,215,10.06,0.11,6.49E+10,0.08,S0,P
N1194,55.5,6.80E+07,6.50E+07,7.10E+07,maser,147.9,125.9,173.8,0,0,0,0.05,S0,U
N1300,20.1,7.10E+07,5.30E+07,1.05E+08,gas,218,208,228,0,0,0,0.07,S,N/A
N1316,21,1.70E+08,1.40E+08,2.00E+08,star,226,215,237,11.18,0.05,0,0.14,E,I
N1332,22.7,1.50E+09,1.30E+09,1.70E+09,star,328,312,344,10.16,0.05,0,0.54,S0,P
N1374,19.6,5.90E+08,5.40E+08,6.50E+08,star,174,165,183,10.1,0.05,5.79E+10,0.89,E,C
N1399,20.9,5.10E+08,4.40E+08,5.70E+08,star,296,281,311,10.78,0.04,3.98E+11,0.25,E,C
N1399,20.9,1.30E+09,6.30E+08,1.80E+09,star,296,281,311,10.78,0.04,3.98E+11,0.63,E,C
N1407,29,4.70E+09,4.20E+09,5.40E+09,star,274,260,288,11.05,0.05,1.00E+12,1.9,E,C
N1550,53,3.90E+09,3.20E+09,4.60E+09,star,289,275,303,10.87,0.05,0,0.78,E,I
N2273,26.8,7.80E+06,7.40E+06,8.20E+06,maser,144.5,128.8,162.2,0,0,0,0.01,S,N/A
N2549,12.7,1.40E+07,1.00E+07,1.50E+07,star,145,138,152,9.55,0.04,1.99E+10,0.05,S0,P
N2787,7.5,4.10E+07,3.60E+07,4.50E+07,gas,189,180,198,0,0,0,0.14,S0,P
N2960,75.3,1.21E+07,1.16E+07,1.26E+07,maser,166,151.3,182,0,0,0,0.01,S,N/A
N3031,4.1,8.00E+07,6.90E+07,1.00E+08,gas,143,136,150,0,0,0,0.85,S,N/A
N3091,52.7,3.70E+09,3.20E+09,3.80E+09,star,307,292,322,11,0.05,0,0.66,E,C
N3115,9.5,8.90E+08,6.20E+08,1.40E+09,star,230,219,241,10.34,0.02,1.57E+11,1.6,S0,P
N3227,17,1.50E+07,7.00E+06,2.00E+07,star,133,121,145,0,0,0,0.04,S,N/A
N3245,21.5,2.20E+08,1.60E+08,2.70E+08,gas,205,195,215,0,0,7.00E+10,0.21,S0,P
N3368,10.6,7.60E+06,6.10E+06,9.20E+06,star,122,98,150,0,0,0,0.04,S,N/A
N3377,11,1.80E+08,8.50E+07,2.70E+08,star,145,138,152,9.93,0.04,2.35E+10,0.69,E,P
N3379,10.7,4.20E+08,3.10E+08,5.20E+08,star,206,196,216,10.29,0.01,6.86E+10,0.83,E,C
N3384,11.5,1.10E+07,5.90E+06,1.60E+07,star,143,136,150,9.89,0.09,1.90E+10,0.04,S0,P
N3393,53.6,3.30E+07,3.10E+07,3.50E+07,maser,147.9,138,158.5,0,0,0,0.03,S,N/A
N3489,12,6.00E+06,5.10E+06,6.80E+06,star,100,89,115,0,0,0,0.04,S0,U
N3585,20.6,3.30E+08,2.70E+08,4.80E+08,star,213,203,223,10.66,0.08,1.60E+11,0.31,S0,I
N3607,22.6,1.40E+08,9.00E+07,1.80E+08,star,229,218,240,0,0,0,0.1,E,C
N3608,22.8,4.70E+08,3.70E+08,5.70E+08,star,182,173,191,10.34,0.04,7.66E+10,0.55,E,C
N3842,98.4,9.70E+09,7.20E+09,1.27E+10,star,270,256,284,11.2,0.05,1.55E+12,1.2,E,C
N3998,14.3,8.50E+08,7.80E+08,9.20E+08,star,272,258,286,9.91,0.04,0,0.71,S0,P
N4026,13.4,1.80E+08,1.50E+08,2.40E+08,star,180,171,189,9.73,0.08,2.81E+10,0.37,S0,P
N4258,7,3.67E+07,3.66E+07,3.68E+07,maser,115,105,125,0,0,0,0.35,S,N/A
N4261,32.6,5.30E+08,4.20E+08,6.40E+08,gas,315,300,330,11,0.02,8.26E+11,0.15,E,C
N4291,26.6,9.80E+08,6.70E+08,1.29E+09,star,242,230,254,10.25,0.05,9.96E+10,0.56,E,C
