,Galaxy,M_BH_MM13,M_updated,sigma,Source_flag,References,Morphology,Method
0,4C+37.11,,28000000000.0,332.0,extra_recent,Surti et al. 2024,,
1,A1836,3900000000.0,,288.0,MM13_original,MM13,E,gas
2,A3565,1400000000.0,,322.0,MM13_original,MM13,E,gas
3,CIRC,1700000.0,,158.0,MM13_original,MM13,S,maser
4,Holm 15A,,40000000000.0,346.0,extra_recent,Mehrgan et al. 2019,,
6,IC1459,2800000000.0,,315.0,MM13_original,MM13,E,star
7,MW,4100000.0,,103.0,MM13_original,MM13,S,star
8,N4486A,14000000.0,,111.0,MM13_original,MM13,E,star
10,NGC1023,40000000.0,,205.0,MM13_original,MM13,S0,star
15,NGC1194,68000000.0,,147.9,MM13_original,MM13,S0,maser
18,NGC1300,71000000.0,,218.0,MM13_original,MM13,S,gas
19,NGC1316,170000000.0,,226.0,MM13_original,MM13,E,star
20,NGC1332,1500000000.0,,328.0,MM13_original,MM13,S0,star
21,NGC1374,590000000.0,,174.0,MM13_original,MM13,E,star
22,NGC1399,510000000.0,,296.0,MM13_original,MM13,E,star
23,NGC1399,1300000000.0,,296.0,MM13_original,MM13,E,star
24,NGC1407,4700000000.0,,274.0,MM13_original,MM13,E,star
25,NGC1453,,2910000000.0,272.0,LM24_new,Quenneville et al. (2022)&V17,,Tri. stellar orbit
27,NGC1550,3900000000.0,,289.0,MM13_original,MM13,E,star
29,NGC1600,,19050000000.0,293.0,LM24_new,Thomas et al. (2016)&V17,,Axi. stellar orbit
30,NGC1684,,1400000000.0,262.0,LM24_new,Dominiak et al. (2024)&V17,,CO gas
33,NGC221,2600000.0,,75.0,MM13_original,MM13,E,star
34,NGC224,140000000.0,,160.0,MM13_original,MM13,S,star
37,NGC2273,7800000.0,,144.5,MM13_original,MM13,S,maser
44,NGC2549,14000000.0,,145.0,MM13_original,MM13,S0,star
46,NGC2693,,1700000000.0,296.0,LM24_new,Pilawa et al. (2022)&V17,,Tri. stellar orbit
48,NGC2787,41000000.0,,189.0,MM13_original,MM13,S0,gas
51,NGC2960,12100000.0,,166.0,MM13_original,MM13,S,maser
52,NGC3031,80000000.0,,143.0,MM13_original,MM13,S,gas
53,NGC3091,3700000000.0,,307.0,MM13_original,MM13,E,star
54,NGC3115,890000000.0,,230.0,MM13_original,MM13,S0,star
55,NGC315,,3000000000.0,341.0,extra_recent,Pilawa et al. 2025,,CO gas
58,NGC3227,15000000.0,,133.0,MM13_original,MM13,S,star
59,NGC3245,220000000.0,,205.0,MM13_original,MM13,S0,gas
60,NGC3368,7600000.0,,122.0,MM13_original,MM13,S,star
61,NGC3377,180000000.0,,145.0,MM13_original,MM13,E,star
62,NGC3379,420000000.0,,206.0,MM13_original,MM13,E,star
63,NGC3384,11000000.0,,143.0,MM13_original,MM13,S0,star
64,NGC3393,33000000.0,,147.9,MM13_original,MM13,S,maser
66,NGC3489,6000000.0,,100.0,MM13_original,MM13,S0,star
68,NGC3585,330000000.0,,213.0,MM13_original,MM13,S0,star
69,NGC3607,140000000.0,,229.0,MM13_original,MM13,E,star
70,NGC3608,470000000.0,,182.0,MM13_original,MM13,E,star
75,NGC3842,9700000000.0,8630000000.0,231.0,MM13_updated,McConnell et al. (2011)&V17,E,Axi. stellar orbit
78,NGC3998,850000000.0,,272.0,MM13_original,MM13,S0,star
79,NGC4026,180000000.0,,180.0,MM13_original,MM13,S0,star
82,NGC4258,36700000.0,,115.0,MM13_original,MM13,S,maser
83,NGC4261,530000000.0,,315.0,MM13_original,MM13,E,gas
84,NGC4291,980000000.0,,242.0,MM13_original,MM13,E,star
85,NGC4342,460000000.0,,225.0,MM13_original,MM13,S0,star
86,NGC4374,920000000.0,,296.0,MM13_original,MM13,E,gas
87,NGC4388,8800000.0,,107.2,MM13_original,MM13,S,maser
88,NGC4459,70000000.0,,167.0,MM13_original,MM13,E,gas
89,NGC4472,2500000000.0,2440000000.0,258.0,MM13_updated,Rusli et al. (2013)&V17,E,Axi. stellar orbit
90,NGC4473,89000000.0,,190.0,MM13_original,MM13,E,star
91,NGC4486,6200000000.0,5340000000.0,324.0,MM13_updated,Liepold et al. (2023)&V17,E,Tri. stellar orbit
93,NGC4564,88000000.0,,162.0,MM13_original,MM13,S0,star
94,NGC4594,670000000.0,,230.0,MM13_original,MM13,S,star
95,NGC4596,84000000.0,,136.0,MM13_original,MM13,S0,gas
