Galaxy,M_BH_MM13,M_BH_MM13_lower,M_BH_MM13_upper,Method_MM13,sigma_MM13,Morphology_MM13,M_BH_Liepold,Method_Liepold,Reference_Liepold,sigma_Veale,Source_flag_x,References_x,MBH_extra_recent,MBH_upper_ER,MBH_lower_ER,sigma_ER,sigma_upper_ER,sigma_lower_ER,Source_flag_y,References_y
4C+37.11,,,,,,,,,,,,,28000000000.0,36000000000.0,20000000000.0,332.0,343.0,321.0,extra_recent,Surti et al. 2024
A1836,3900000000.0,3300000000.0,4300000000.0,gas,288.0,E,,,,,MM13_original,MM13,,,,,,,,
A3565,1400000000.0,1200000000.0,1700000000.0,gas,322.0,E,,,,,MM13_original,MM13,,,,,,,,
CIRC,1700000.0,1400000.0,2100000.0,maser,158.0,S,,,,,MM13_original,MM13,,,,,,,,
Holm 15A,,,,,,,,,,,,,40000000000.0,48000000000.0,32000000000.0,346.0,359.0,334.0,extra_recent,Mehrgan et al. 2019
IC0310,,,,,,,,,,205,VP17_sigma,VP17,,,,,,,,
IC1459,2800000000.0,1600000000.0,3900000000.0,star,315.0,E,,,,,MM13_original,MM13,,,,,,,,
MW,4100000.0,3500000.0,4700000.0,star,103.0,S,,,,,MM13_original,MM13,,,,,,,,
N4486A,14000000.0,8900000.0,19000000.0,star,111.0,E,,,,,MM13_original,MM13,,,,,,,,
NGC1016,,,,,,,,,,279,VP17_sigma,VP17,,,,,,,,
NGC1023,40000000.0,36000000.0,44000000.0,star,205.0,S0,,,,,MM13_original,MM13,,,,,,,,
NGC1060,,,,,,,,,,271,VP17_sigma,VP17,,,,,,,,
NGC1129,,,,,,,,,,259,VP17_sigma,VP17,,,,,,,,
NGC1132,,,,,,,,,,218,VP17_sigma,VP17,,,,,,,,
NGC1167,,,,,,,,,,172,VP17_sigma,VP17,,,,,,,,
NGC1194,68000000.0,65000000.0,71000000.0,maser,147.9,S0,,,,,MM13_original,MM13,,,,,,,,
NGC1226,,,,,,,,,,229,VP17_sigma,VP17,,,,,,,,
NGC1272,,,,,,,,,,250,VP17_sigma,VP17,,,,,,,,
NGC1300,71000000.0,53000000.0,105000000.0,gas,218.0,S,,,,,MM13_original,MM13,,,,,,,,
NGC1316,170000000.0,140000000.0,200000000.0,star,226.0,E,,,,,MM13_original,MM13,,,,,,,,
